S.No.,Zone & Circle,Ward Name,Vehicle Number,Route Name,Total,Covered,Not Covered,Coverage,Date,Start Time,End Time
1,Z1-C1,20.GANGA NAGAR,UK14CA5701,W20R1,644,252,392,39,13-11-2025,07:03 AM,10:43 AM
2,Z1-C1,05.PUSHKAR MANDIR,UK14CA5705,W5R1,543,207,336,38,13-11-2025,07:58 AM,10:17 AM
3,Z1-C1,33.GEETA NAGAR,UK14CA5697,W33R1,557,204,353,36,13-11-2025,07:44 AM,10:22 AM
4,Z1-C1,20.GANGA NAGAR,UK14CA5701,W20R2,585,211,374,36,13-11-2025,07:16 AM,10:24 AM
5,Z1-C1,08.BHARAT MANDIR,UK14CA3708,W8R1,259,70,189,27,13-11-2025,07:38 AM,10:45 AM
6,Z1-C1,06.ADARSH GRAM,UK14CA5705,W6R1,333,83,250,24,13-11-2025,08:11 AM,10:18 AM
7,Z1-C1,10.SADANAND MARG,UK14CA5698,W10R1,667,161,506,24,13-11-2025,07:17 AM,10:37 AM
8,Z1-C1,23.SARVAHARA NAGAR,UK14G5053,W23R1,741,152,589,20,13-11-2025,08:43 AM,10:20 AM
9,Z1-C1,06.ADARSH GRAM,UK14CA5705,W6R2,511,86,425,16,13-11-2025,08:16 AM,10:45 AM
10,Z1-C1,09.MUKHERJEE MARG,UK14CA3708,W9R1,635,95,540,14,13-11-2025,06:34 AM,10:45 AM
11,Z1-C1,26.SHIVAJI NAGAR,UK14CA5696,W26R1,1233,183,1050,14,13-11-2025,07:40 AM,10:43 AM
12,Z1-C1,11.ASHUTOSH NAGAR,UK14CA3704,W11R1,602,89,513,14,13-11-2025,06:43 AM,08:54 AM
13,Z1-C1,07.MAYAKUND,UK14CA3708,W7R1,282,40,242,14,13-11-2025,09:58 AM,10:43 AM
14,Z1-C1,35.AMIT GRAM EAST,UK14G5022,W35R1,567,73,494,12,13-11-2025,07:55 AM,10:44 AM
15,Z1-C1,17.GANGA VIHAR,UK14G1590,W17R1,602,16,586,2,13-11-2025,12:01 AM,08:57 AM
16,Z1-C1,13.VALMIKI NAGAR,UK14G1618,W13R1,427,10,417,2,13-11-2025,09:57 AM,10:33 AM
17,Z1-C1,22.SHASTRI NAGAR,UK14CA5697,W22R1,862,7,855,0,13-11-2025,07:31 AM,07:34 AM
18,Z1-C1,30.MEERA NAGAR,UK14CA5709,W30R1,294,0,294,0,13-11-2025,,
19,Z1-C1,30.MEERA NAGAR,UK14CA5709,W30R2,524,0,524,0,13-11-2025,,
20,Z1-C1,30.MEERA NAGAR,UK14CA5709,W30R3,379,0,379,0,13-11-2025,,
21,Z1-C1,31.BAPUGRAM,UK14G1639,W31R1,1888,0,1888,0,13-11-2025,,
22,Z1-C1,12.PRAGITI VIHAR,UK14CA5712,W12R1,407,0,407,0,13-11-2025,,
23,Z1-C1,34.MALVIYA NAGAR,UK14CA5694,W34R1,697,0,697,0,13-11-2025,,
24,Z1-C1,36.AMIT GRAM WEST,UK14CA5703,W36R1,1086,0,1086,0,13-11-2025,,
25,Z1-C1,37.MANSA DEVI,UK14CA5694,W37R1,4120,0,4120,0,13-11-2025,,
26,Z1-C1,38.INDRA NAGAR,UK14CA5712,W38R1,334,0,334,0,13-11-2025,,
27,Z1-C1,39.NEHRU GRAM,UK14CA5712,W39R1,424,0,424,0,13-11-2025,,
28,Z1-C1,03.DURGA MANDIR,UK14CA5695,W3R1,398,0,398,0,13-11-2025,,
29,Z1-C1,40.THDC,UK14G1540,W40R1,54,0,54,0,13-11-2025,,
30,Z1-C1,04.BHAIRAV MANDIR,UK14CA5695,W4R1,583,0,583,0,13-11-2025,,
31,Z1-C1,32.SUMAN VIHAR,UK14G5026,W32R1,616,0,616,0,13-11-2025,,
32,Z1-C1,14.SUBASH NAGAR,UK14CA5693,W14R1,575,0,575,0,13-11-2025,,
33,Z1-C1,15.MANI RAM MARG,UK14CA5699,W15R1,888,0,888,0,13-11-2025,,
34,Z1-C1,16.TILAK ROAD,UK14CA5699,W16R1,653,0,653,0,13-11-2025,,
35,Z1-C1,18.SHANTI NAGAR,UK14CA5693,W18R1,408,0,408,0,13-11-2025,,
36,Z1-C1,19.SOMESHWAR MANDIRR,UK14CA5706,W19R1,724,0,724,0,13-11-2025,,
37,Z1-C1,01.CHANDRESHWAR NAGAR,UK14CA5695,W1R1,402,0,402,0,13-11-2025,,
38,Z1-C1,21.UPER GANGA NAGAR,UK14CA5701,W21R1,635,0,635,0,13-11-2025,,
39,Z1-C1,24.BHARAT VIHAR,UK14CA5710,W24R1,898,0,898,0,13-11-2025,,
40,Z1-C1,25.AWAS VIKAS,UK14CA3712,W25R1,919,0,919,0,13-11-2025,,
41,Z1-C1,27.BAIRAJ,UK14G1581,W27R1,211,0,211,0,13-11-2025,,
42,Z1-C1,27.BAIRAJ,UK14G1581,W27R2,51,0,51,0,13-11-2025,,
43,Z1-C1,28.VEERBHADRA MANDIR,UK14CA5702,W28R1,440,0,440,0,13-11-2025,,
44,Z1-C1,28.VEERBHADRA MANDIR,UK14CA5702,W28R2,261,0,261,0,13-11-2025,,
45,Z1-C1,28.VEERBHADRA MANDIR,UK14CA5702,W28R3,386,0,386,0,13-11-2025,,
46,Z1-C1,29.20 BIGHA,UK14G1639,W29R1,1144,0,1144,0,13-11-2025,,
47,Z1-C1,02.TRIVENI COLONY,UK14CA5695,W2R1,406,0,406,0,13-11-2025,,
